10 0.00290693 6.70245e-05
20 0.00399618 0.000104277
30 0.00475792 0.000125073
40 0.00513047 0.000142889
50 0.00570884 0.000165335
60 0.0060385 0.000169603
70 0.00607531 0.000188067
80 0.00604408 0.000196366
90 0.00605974 0.000177727
100 0.00618777 0.000185875
110 0.00640255 0.000194572
120 0.00656162 0.000200547
130 0.00624897 0.000195406
140 0.0061445 0.000180236
150 0.00635966 0.000195433
160 0.00624933 0.000185953
170 0.00640454 0.000193509
180 0.00617287 0.000174394
190 0.00624768 0.000186136
200 0.00611752 0.000179499
